date,store,item,category,quantity,unit,price
2024-01-20,Target,Large Eggs,Protein,2,dozen,3.49
2024-01-20,Target,Greek Yogurt,Dairy,2,32 oz,5.49
2024-01-20,Target,Cheddar Cheese,Dairy,1,16 oz,4.49
2024-01-20,Target,Butter,Dairy,1,1 lb,3.99
2024-01-20,Target,Sour Cream,Dairy,1,16 oz,2.49
2024-01-27,Walmart,Ground Beef,Meat,2,lbs,5.99
2024-01-27,Walmart,Salmon Fillet,Meat,1,lbs,11.99
2024-01-27,Walmart,Pork Chops,Meat,1,lbs,4.99
2024-01-27,Walmart,Bacon,Meat,2,16 oz,6.49
2024-01-27,Walmart,Bananas,Produce,3,lbs,0.69
2024-02-03,Target,Apples,Produce,2,lbs,1.99
2024-02-03,Target,Avocados,Produce,1,pack,4.99
2024-02-03,Target,Broccoli,Produce,2,lbs,1.89
2024-02-03,Target,Onions,Produce,1,3 lb bag,2.99
2024-02-03,Target,Garlic,Produce,1,pack,1.49
2024-02-10,Walmart,Strawberries,Produce,2,1 lb,3.99
2024-02-10,Walmart,Blueberries,Produce,1,pint,3.49
2024-02-10,Walmart,Carrots,Produce,1,2 lbs,1.79
2024-02-10,Walmart,Potatoes,Produce,1,5 lbs,4.49
2024-02-10,Walmart,Bell Peppers,Produce,1,3 pack,3.99
2024-02-17,Costco,Paper Towels,Household,1,12 rolls,14.99
2024-02-17,Costco,Toilet Paper,Household,1,30 rolls,19.99
2024-02-17,Costco,Trash Bags,Household,1,90 count,15.49
2024-02-17,Costco,Dish Soap,Household,1,80 oz,9.29
2024-02-17,Costco,Aluminum Foil,Household,1,200 sq ft,11.49
2024-02-24,Target,White Rice,Grains,1,5 lbs,6.99
2024-02-24,Target,Oats,Grains,1,32 oz,3.49
2024-02-24,Target,Pasta,Grains,3,16 oz,1.49
2024-02-24,Target,Quinoa,Grains,1,16 oz,4.29
2024-02-24,Target,Cereal,Grains,2,box,4.29
2024-03-02,Walmart,Olive Oil,Pantry,1,16 oz,8.99
2024-03-02,Walmart,Peanut Butter,Pantry,1,16 oz,2.99
2024-03-02,Walmart,Honey,Pantry,1,12 oz,4.49
2024-03-02,Walmart,Canned Tuna,Pantry,4,5 oz,1.29
2024-03-02,Target,Ice Cream,Frozen,1,pint,4.99
2024-03-02,Walmart,Black Beans,Pantry,6,15 oz,0.99
2024-03-09,Target,Fabric Softener,Laundry,1,60 oz,6.69
2024-03-09,Target,Stain Remover,Laundry,1,22 oz,4.29
2024-03-09,Target,Bleach,Laundry,1,Gallon,4.49
2024-03-09,Target,Toilet Bowl Cleaner,Household,2,24 oz,2.79
2024-03-09,Target,Clorox Wipes,Household,1,3 pack,6.49
2024-03-16,Walmart,Shampoo,Personal Care,1,16 oz,5.99
2024-03-16,Walmart,Conditioner,Personal Care,1,16 oz,5.99
2024-03-16,Walmart,Body Wash,Personal Care,1,18 oz,4.99
2024-03-16,Walmart,Toothpaste,Personal Care,1,2 pack,6.49
2024-03-16,Walmart,Toothbrush,Personal Care,1,2 pack,3.99
2024-03-23,Target,Potato Chips,Snacks,2,bag,3.99
2024-03-23,Target,Crackers,Snacks,1,box,3.49
2024-03-23,Target,Chocolate Bar,Snacks,3,each,1.89
2024-03-23,Target,Sparkling Water,Snacks,2,12 pack,5.49
2024-03-23,Target,Juice,Snacks,1,64 oz,3.29
2024-03-30,Costco,Chicken Breast,Meat,1,10 lbs,29.99
2024-03-30,Costco,Ground Beef,Meat,1,6 lbs,24.99
2024-03-30,Costco,Salmon Fillet,Meat,1,3 lbs,32.99
2024-03-30,Costco,Mixed Nuts,Snacks,1,40 oz,14.99
2024-03-30,Costco,Granola Bars,Snacks,1,60 count,12.49
2024-04-06,Target,Tortillas,Grains,1,pack,2.99
2024-04-06,Target,Bagels,Grains,1,pack,4.29
2024-04-06,Target,Flour,Grains,1,5 lbs,3.49
2024-04-06,Target,Sugar,Pantry,1,4 lbs,3.19
2024-04-06,Target,Coffee Beans,Pantry,1,12 oz,9.99
